Episode,Episode_Return,Average Reward (past 100)
967,183.0,183.15
968,193.0,183.36
969,201.0,183.67
970,214.0,184.15
971,203.0,184.48
972,227.0,185.13
973,188.0,185.33
974,181.0,185.43
975,188.0,185.54
976,186.0,185.77
977,202.0,185.98
978,186.0,186.03
979,185.0,186.1
980,208.0,186.48
981,178.0,186.6
982,229.0,187.22
983,179.0,187.25
984,190.0,187.31
985,190.0,187.32
986,204.0,187.58
987,189.0,187.64
988,205.0,187.98
989,190.0,188.21
990,194.0,188.41
991,197.0,188.69
992,183.0,188.7
993,200.0,188.88
994,190.0,189.06
995,202.0,189.32
996,188.0,189.39
997,196.0,189.52
998,190.0,189.54
999,195.0,189.65
1000,187.0,189.47
